Model,Accuracy,Precision (macro),Recall (macro),F1 Score (macro),Precision (weighted),Recall (weighted),F1 Score (weighted)
Random Forest,0.696875,0.5247168680072777,0.4053257761437909,0.43493767966348124,0.6737717094658094,0.696875,0.6812394595112043
KNN,0.66875,0.4119365384291323,0.38547283496732027,0.39470661672908863,0.64722832200091,0.66875,0.6555852059925094
SVM,0.6375,0.3388155543643349,0.3406417112299465,0.3392336822658075,0.6241571671468775,0.6375,0.6306458149784077
Logistic Regression,0.596875,0.3242431473563549,0.26968443627450983,0.2737135190000139,0.5823683625570417,0.596875,0.5700880132367458
Neural Network,0.584375,0.3010573191787613,0.26749387254901963,0.2707869704142322,0.560402841171342,0.584375,0.5605868660894728
